link,image ,title_name ,price
https://www.jiomart.com/p/beauty/plum-color-affair-nail-polish-pretty-in-pink-133-11-ml/592200180,https://www.jiomart.com/images/product/600x600/1023885/plum-color-affair-nail-polish-pretty-in-pink-133-11-ml-prod-1023885-0-202206242033.jpg,Plum Color Affair Nail Polish - Pretty In Pink - 133 11 ml,M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/plum-color-affair-nail-polish-pink-blossom-130-11-ml/592200179,https://www.jiomart.com/images/product/600x600/1023882/plum-color-affair-nail-polish-pink-blossom-130-11-ml-prod-1023882-0-202206242033.jpg,Plum Color Affair Nail Polish - Pink Blossom - 130 11 ml,M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/plum-color-affair-nail-polish-on-the-mauve-127-11-ml/592200178,https://www.jiomart.com/images/product/600x600/1023879/plum-color-affair-nail-polish-on-the-mauve-127-11-ml-prod-1023879-0-202206242033.jpg,Plum Color Affair Nail Polish - On The Mauve - 127 11 ml,M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/boujee-beauty-professional-brush-set-s109-1-s/592194479,https://www.jiomart.com/images/product/600x600/1003072/boujee-beauty-professional-brush-set-s109-1-s-prod-1003072-0-202206241439.jpg,Boujee Beauty Professional Brush Set S109 1's,M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/boujee-beauty-professional-brush-set-s108-1-s/592194472,https://www.jiomart.com/images/product/600x600/1003071/boujee-beauty-professional-brush-set-s108-1-s-prod-1003071-0-202206241439.jpg,Boujee Beauty Professional Brush Set S108 1's,M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/boujee-beauty-professional-brush-set-s107-1-s/592194462,https://www.jiomart.com/images/product/600x600/1003070/boujee-beauty-professional-brush-set-s107-1-s-prod-1003070-0-202206241438.jpg,Boujee Beauty Professional Brush Set S107 1's,M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/boujee-beauty-professional-brush-set-s106-1-s/592194457,https://www.jiomart.com/images/product/600x600/1003069/boujee-beauty-professional-brush-set-s106-1-s-prod-1003069-0-202206241438.jpg,Boujee Beauty Professional Brush Set S106 1's,M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/boujee-beauty-professional-brush-set-s104-1-s/592194452,https://www.jiomart.com/images/product/600x600/1003068/boujee-beauty-professional-brush-set-s104-1-s-prod-1003068-0-202206241438.jpg,Boujee Beauty Professional Brush Set S104 1's,M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/boujee-beauty-professional-brush-set-s103-1-s/592194444,https://www.jiomart.com/images/product/600x600/1003067/boujee-beauty-professional-brush-set-s103-1-s-prod-1003067-0-202206241438.jpg,Boujee Beauty Professional Brush Set S103 1's,M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/sery-mattish-lipstick-sexy-dare-3-5-gm/592068230,https://www.jiomart.com/images/product/600x600/1032646/sery-mattish-lipstick-sexy-dare-3-5-gm-prod-1032646-0-202206140132.jpg,SERY Mattish Lipstick Sexy Dare 3.5 gm,M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/cal-losangeles-spf-50-c-03-12-gm/592068229,https://www.jiomart.com/images/product/600x600/1008845/cal-losangeles-spf-50-c-03-12-gm-prod-1008845-0-202206140132.jpg,CAL Losangeles SPF 50+ C-03 12 gm,M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/sery-mattish-lipstick-honey-brown-3-5-gm/592068142,https://www.jiomart.com/images/product/600x600/1032645/sery-mattish-lipstick-honey-brown-3-5-gm-prod-1032645-0-202206140127.jpg,SERY Mattish Lipstick Honey Brown 3.5 gm,M.R.P: ₹ 0.00
